Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20090209,0.0003,-0.0084,0.0006,0.00001,-0.0464,-0.0329,-0.0538,0.003,-0.0451,-0.04641,-0.03291,-0.05381,0.00299,-0.04511
20090210,-0.0462,0.0112,-0.0286,0.00001,-0.0086,0.0218,-0.0011,-0.0509,-0.1245,-0.00861,0.02179,-0.00111,-0.05091,-0.12451
20090211,0.0075,-0.0081,0.0124,0.00001,0.026,0.0026,0.0145,0.0158,0.0196,0.02599,0.00259,0.01449,0.01579,0.01959
20090212,0.003,0.0034,-0.0053,0.00001,-0.0028,-0.0088,-0.0154,-0.0062,0,-0.00281,-0.00881,-0.01541,-0.00621,-0.00001
20090213,-0.0085,0.0097,-0.0148,0.00001,-0.0452,-0.0524,-0.0425,-0.0125,-0.0577,-0.04521,-0.05241,-0.04251,-0.01251,-0.05771
20090217,-0.0436,0.0107,-0.0241,0.00001,-0.003,0.0017,0.0315,-0.0253,0.0255,-0.00301,0.00169,0.03149,-0.02531,0.02549
20090218,-0.0033,-0.0084,-0.0076,0.00001,-0.0386,-0.0116,-0.0305,0.013,-0.0796,-0.03861,-0.01161,-0.03051,0.01299,-0.07961
20090219,-0.0115,-0.0001,-0.0202,0.00001,0.0062,0.005,0.0117,-0.0064,0.027,0.00619,0.00499,0.01169,-0.00641,0.02699
20090220,-0.0116,-0.0011,-0.0094,0.00001,-0.046,-0.0439,-0.0473,0.029,-0.0474,-0.04601,-0.04391,-0.04731,0.02899,-0.04741
20090223,-0.0343,-0.0058,0.0077,0.00001,0.0354,-0.0023,0.046,-0.0313,0.0939,0.03539,-0.00231,0.04599,-0.03131,0.09389
20090224,0.04,-0.0103,0.0308,0.00001,0.0124,-0.0122,-0.0104,0.0615,0.0101,0.01239,-0.01221,-0.01041,0.06149,0.01009
20090225,-0.0115,-0.0157,0.0034,0.00001,-0.0215,-0.0318,-0.0129,-0.0274,0.03,-0.02151,-0.03181,-0.01291,-0.02741,0.02999
20090226,-0.0153,-0.0052,0.0135,0.00001,0,-0.0164,0.0024,-0.0219,0.0049,-0.00001,-0.01641,0.00239,-0.02191,0.00489
20090227,-0.0201,0.0186,-0.0213,0.00001,-0.0157,-0.0223,-0.0319,0.0385,-0.0821,-0.01571,-0.02231,-0.03191,0.03849,-0.08211
20090302,-0.0475,-0.0028,-0.0036,0.00001,0.0064,0.0057,-0.0061,-0.0432,0.0368,0.00639,0.00569,-0.00611,-0.04321,0.03679
20090303,-0.0071,-0.0071,-0.0232,0.00001,0.0316,0.0151,-0.0197,-0.0065,0.0761,0.03159,0.01509,-0.01971,-0.00651,0.07609
20090304,0.0242,0.0054,-0.0095,0.00001,-0.0276,-0.0527,-0.0414,0.0519,-0.0283,-0.02761,-0.05271,-0.04141,0.05189,-0.02831
20090305,-0.0421,-0.0043,-0.0322,0.00001,-0.0379,0.0007,0.0092,0,0.0194,-0.03791,0.00069,0.00919,-0.00001,0.01939
20090306,0.002,0.0043,-0.0062,0.00001,-0.0262,-0.0085,-0.057,-0.0494,-0.0095,-0.02621,-0.00851,-0.05701,-0.04941,-0.00951
20090309,-0.0109,-0.0092,0.0017,0.00001,0.0673,0.0878,0.0591,-0.0195,0.0865,0.06729,0.08779,0.05909,-0.01951,0.08649
20090310,0.0635,-0.0093,0.0434,0.00001,0.0442,0.0382,0.0324,0.0894,0.031,0.04419,0.03819,0.03239,0.08939,0.03099
20090311,0.003,-0.0058,0.0054,0.00001,0.0393,-0.0058,0.0176,0.0426,0.0558,0.03929,-0.00581,0.01759,0.04259,0.05579
20090312,0.0416,0.0112,0.027,0.00001,-0.0029,-0.0212,0.0025,0.0146,-0.0041,-0.00291,-0.02121,0.00249,0.01459,-0.00411
20090313,0.0074,0.0022,0.0051,0.00001,-0.0058,-0.024,-0.0148,-0.0144,-0.0408,-0.00581,-0.02401,-0.01481,-0.01441,-0.04081
20090316,-0.0055,-0.0099,0.0034,0.00001,0.044,0.04,0.0488,-0.0233,0.0511,0.04399,0.03999,0.04879,-0.02331,0.05109
20090317,0.032,0.0064,0.016,0.00001,0.0197,0.0036,-0.006,0.0657,0.0324,0.01969,0.00359,-0.00601,0.06569,0.03239
20090318,0.0218,0,0.0406,0.00001,0,0.0106,-0.0096,-0.0028,-0.0118,-0.00001,0.01059,-0.00961,-0.00281,-0.01181
20090319,-0.0103,0.0114,-0.0272,0.00001,0,-0.0047,0,-0.0169,-0.0556,-0.00001,-0.00471,-0.00001,-0.01691,-0.05561
20090320,-0.0195,-0.0034,-0.0089,0.00001,0.0579,0.0744,0.0557,0,0.0756,0.05789,0.07439,0.05569,-0.00001,0.07559
20090323,0.0689,-0.008,0.0437,0.00001,-0.0104,-0.0218,-0.0034,0.08,-0.0469,-0.01041,-0.02181,-0.00341,0.07999,-0.04691
20090324,-0.0193,-0.0105,-0.0177,0.00001,0,-0.0028,-0.0092,-0.037,0.0164,-0.00001,-0.00281,-0.00921,-0.03701,0.01639
20090325,0.0094,0.0094,0.0143,0.00001,0.0316,0.0531,0.0267,-0.0055,0.0645,0.03159,0.05309,0.02669,-0.00551,0.06449
20090326,0.0268,0.0195,-0.0008,0.00001,-0.0255,-0.0372,-0.0158,0.0166,-0.0076,-0.02551,-0.03721,-0.01581,0.01659,-0.00761
20090327,-0.0206,-0.0138,0.0018,0.00001,-0.0236,-0.0359,-0.0138,-0.0408,-0.0649,-0.02361,-0.03591,-0.01381,-0.04081,-0.06491
20090330,-0.0347,0.0184,-0.0392,0.00001,0.0054,0.0509,0.0152,0.0113,0.0041,0.00539,0.05089,0.01519,0.01129,0.00409
20090331,0.0129,-0.0064,0.0182,0.00001,0.0347,0.0512,0.0172,0.028,0.0285,0.03469,0.05119,0.01719,0.02799,0.02849
20090401,0.0165,-0.0051,0.0164,0.00001,0.0387,-0.001,0.0237,0,0.0474,0.03869,-0.00101,0.02369,-0.00001,0.04739
20090402,0.0307,0.02,0.0051,0.00001,0.0273,-0.028,0.0198,0.0409,0.0679,0.02729,-0.02801,0.01979,0.04089,0.06789
20090403,0.0102,-0.0015,0.0094,0.00001,0.0217,0.0005,-0.0043,0.0236,0.0035,0.02169,0.00049,-0.00431,0.02359,0.00349
20090406,-0.0093,-0.0053,-0.0083,0.00001,-0.0284,0,-0.0261,-0.0026,-0.0352,-0.02841,-0.00001,-0.02611,-0.00261,-0.03521
20090407,-0.0242,-0.0078,-0.0014,0.00001,0.0097,0.0229,0.01,-0.0308,0.0401,0.00969,0.02289,0.00999,-0.03081,0.04009
20090408,0.0128,0.0112,0.0005,0.00001,0.0289,0.025,0.0287,0.0185,0.0561,0.02889,0.02499,0.02869,0.01849,0.05609
20090409,0.0391,0.0022,0.0461,0.00001,0.0047,-0.0041,0.015,0.0364,-0.0332,0.00469,-0.00411,0.01499,0.03639,-0.03321
20090413,0.0026,-0.0099,0.0235,0.00001,-0.014,-0.0123,-0.0243,-0.01,0.0069,-0.01401,-0.01231,-0.02431,-0.01001,0.00689
20090414,-0.0202,0.0006,-0.0304,0.00001,-0.0071,-0.0269,0.0293,-0.0228,-0.0273,-0.00711,-0.02691,0.02929,-0.02281,-0.02731
20090415,0.0112,-0.0021,0.0238,0.00001,0.0333,0.0494,0.0242,-0.0311,0.0246,0.03329,0.04939,0.02419,-0.03111,0.02459
20090416,0.0169,0.0131,0.0007,0.00001,0.0161,-0.0283,0.0092,0.0321,0.0068,0.01609,-0.02831,0.00919,0.03209,0.00679
20090417,0.0055,0.0082,0.0035,0.00001,-0.0249,-0.0307,-0.0336,0.0104,-0.0612,-0.02491,-0.03071,-0.03361,0.01039,-0.06121
20090420,-0.0432,0.0019,-0.0438,0.00001,0.0116,0.0193,0.0063,-0.0051,-0.0036,0.01159,0.01929,0.00629,-0.00511,-0.00361
20090421,0.0219,0.0075,0.0314,0.00001,-0.0023,-0.01,0.0063,0.0155,0.0327,-0.00231,-0.01001,0.00629,0.01549,0.03269
20090422,-0.0061,0.0159,-0.012,0.00001,0.0323,0.0075,0.0021,0.0051,-0.0176,0.03229,0.00749,0.00209,0.00509,-0.01761
20090423,0.0066,-0.019,0.0024,0.00001,-0.0134,0.1052,0.0125,0.0177,0.0251,-0.01341,0.10519,0.01249,0.01769,0.02509
20090424,0.0177,0.0085,0.0009,0.00001,0.0068,-0.0244,-0.0092,0.0471,-0.0385,0.00679,-0.02441,-0.00921,0.04709,-0.03851
20090427,-0.0095,-0.0037,-0.0179,0.00001,-0.0045,-0.023,-0.0062,-0.0142,0.0036,-0.00451,-0.02301,-0.00621,-0.01421,0.00359
20090428,-0.0021,0.0091,0.0013,0.00001,0.009,0.0161,0.0208,-0.0096,-0.0145,0.00899,0.01609,0.02079,-0.00961,-0.01451
20090429,0.0241,0.0077,0.0128,0.00001,0.0045,0.0005,0.0112,-0.0316,0.0551,0.00449,0.00049,0.01119,-0.03161,0.05509
20090430,-0.0004,-0.0029,-0.0067,0.00001,0.0111,-0.001,-0.0061,0.01,0.0174,0.01109,-0.00101,-0.00611,0.00999,0.01739
20090501,0.0045,-0.0047,-0.0022,0,0.0396,-0.0025,0.0213,-0.0199,0.0548,0.0396,-0.0025,0.0213,-0.0199,0.0548
20090504,0.0336,-0.0049,0.0317,0,0.0042,-0.0198,0.002,0.0101,-0.0422,0.0042,-0.0198,0.002,0.0101,-0.0422
20090505,-0.0027,0.0019,-0.0023,0,-0.0021,0,0.002,0.0251,-0.0203,-0.0021,0,0.002,0.0251,-0.0203
20090506,0.0145,-0.0214,0.0261,0,-0.0254,-0.0237,-0.0178,0.0024,-0.0727,-0.0254,-0.0237,-0.0178,0.0024,-0.0727
20090507,-0.0142,-0.007,-0.0089,0,0,0.0052,0.0272,-0.0341,-0.1381,0,0.0052,0.0272,-0.0341,-0.1381
20090508,0.0248,0.0011,0.0305,0,0.0043,-0.0051,0.002,-0.0152,0.0216,0.0043,-0.0051,0.002,-0.0152,0.0216
20090511,-0.0201,0.0131,-0.0248,0,-0.041,0.0295,-0.0225,0.0077,-0.0466,-0.041,0.0295,-0.0225,0.0077,-0.0466
20090512,-0.0031,-0.0088,-0.015,0,-0.0383,-0.007,-0.023,-0.0076,-0.0667,-0.0383,-0.007,-0.023,-0.0076,-0.0667
20090513,-0.0291,-0.0149,-0.0155,0,0.0281,0.0157,-0.0051,-0.0487,0.0143,0.0281,0.0157,-0.0051,-0.0487,0.0143
20090514,0.0111,0.0047,0.0103,0,-0.0046,0.008,0.0062,0.0135,0.0282,-0.0046,0.008,0.0062,0.0135,0.0282
20090515,-0.0102,0.0063,-0.0119,0,0.0343,0.0188,0.0174,-0.0213,0.0594,0.0343,0.0188,0.0174,-0.0213,0.0594
20090518,0.0313,0.0025,0.0211,0,0.0066,-0.0141,0.005,0.0326,0.0172,0.0066,-0.0141,0.005,0.0326,0.0172
20090519,-0.0005,0.0028,-0.0137,0,-0.011,0.0034,-0.004,0.0237,0.0297,-0.011,0.0034,-0.004,0.0237,0.0297
20090520,-0.0048,0.0002,-0.0117,0,-0.0156,-0.0275,-0.002,0.0026,-0.0041,-0.0156,-0.0275,-0.002,0.0026,-0.0041
20090521,-0.0168,-0.0012,0.0038,0,-0.0135,-0.0035,-0.0071,-0.0256,0.0165,-0.0135,-0.0035,-0.0071,-0.0256,0.0165
20090522,-0.0015,-0.0035,-0.006,0,0.0686,0.0299,0.0274,-0.0053,0.0528,0.0686,0.0299,0.0274,-0.0053,0.0528
20090526,0.0278,0.0155,0.0066,0,0.0171,-0.0103,0.003,0.037,0,0.0171,-0.0103,0.003,0.037,0
20090527,-0.018,0.0024,-0.0125,0,0.0147,0.0159,0.0118,-0.0179,0.0154,0.0147,0.0159,0.0118,-0.0179,0.0154
20090528,0.0135,-0.0139,0.0053,0,0.0062,0.0215,0.0166,0.0078,-0.0076,0.0062,0.0215,0.0166,0.0078,-0.0076
20090529,0.0138,0.0055,-0.0017,0,0.0268,0.0244,0.022,0.0052,0.046,0.0268,0.0244,0.022,0.0052,0.046
20090601,0.0272,0.0162,-0.008,0,0,0,0.0047,0.0641,-0.0073,0,0,0.0047,0.0641,-0.0073
20090602,0.0029,0.0085,-0.002,0,0.01,0.0154,0.0075,0.0241,-0.0295,0.01,0.0154,0.0075,0.0241,-0.0295
20090603,-0.0139,0.0082,-0.0082,0,0.0199,0.0046,0.0204,0.0071,0.0342,0.0199,0.0046,0.0204,0.0071,0.0342
20090604,0.0118,0.0012,0.0124,0,0.0078,0.0142,0.0091,0,-0.0037,0.0078,0.0142,0.0091,0,-0.0037
20090605,-0.0019,0.0016,-0.0061,0,-0.0058,-0.0041,-0.0126,0.0234,-0.0074,-0.0058,-0.0041,-0.0126,0.0234,-0.0074
20090608,-0.002,-0.01,0.006,0,-0.0078,0.0014,-0.0073,-0.0137,0.0558,-0.0078,0.0014,-0.0073,-0.0137,0.0558
20090609,0.0049,0.0034,-0.0024,0,-0.0176,0.0213,-0.0064,0.0069,0.0317,-0.0176,0.0213,-0.0064,0.0069,0.0317
20090610,-0.0035,-0.0034,-0.0046,0,-0.002,0.0124,-0.0083,-0.0046,-0.0137,-0.002,0.0124,-0.0083,-0.0046,-0.0137
20090611,0.0063,-0.0024,0.0035,0,-0.022,0.0219,-0.0102,-0.0115,-0.0035,-0.022,0.0219,-0.0102,-0.0115,-0.0035
20090612,0.0003,-0.0016,-0.0003,0,-0.0061,0.0039,-0.0188,-0.0187,-0.0174,-0.0061,0.0039,-0.0188,-0.0187,-0.0174
20090615,-0.0238,-0.0029,-0.0037,0,0.0021,0.0013,-0.0019,-0.0095,-0.0283,0.0021,0.0013,-0.0019,-0.0095,-0.0283
20090616,-0.0133,-0.0008,-0.0032,0,-0.0062,0.0098,-0.0019,-0.012,0.0255,-0.0062,0.0098,-0.0019,-0.012,0.0255
20090617,-0.0008,0.0099,-0.0102,0,0.0021,-0.0076,-0.0029,0.0049,-0.0177,0.0021,-0.0076,-0.0029,0.0049,-0.0177
20090618,0.0074,-0.0067,0.0041,0,0.0268,0.0243,0.0145,-0.0121,0.0072,0.0268,0.0243,0.0145,-0.0121,0.0072
20090619,0.0035,0.0027,0.0017,0,-0.0141,-0.0328,-0.0304,0.0172,-0.0538,-0.0141,-0.0328,-0.0304,0.0172,-0.0538
20090622,-0.0307,-0.0034,-0.0082,0,-0.0244,0.0026,-0.0039,-0.0458,-0.0076,-0.0244,0.0026,-0.0039,-0.0458,-0.0076
20090623,0.0008,-0.0113,0.0019,0,0.0146,0.0056,0.0089,-0.0202,0.0344,0.0146,0.0056,0.0089,-0.0202,0.0344
20090624,0.0078,0.0024,-0.0015,0,0.0267,0.0136,0.0156,0.0206,0.0517,0.0267,0.0136,0.0156,0.0206,0.0517
20090625,0.0219,0.0079,0.0001,0,0.02,-0.0185,0.0231,0.0379,0.014,0.02,-0.0185,0.0231,0.0379,0.014
20090626,0.0004,0.0156,0.0015,0,-0.0039,0.0218,-0.0028,0.0195,0,-0.0039,0.0218,-0.0028,0.0195,0
20090629,0.0082,-0.0109,0.0036,0,0.0039,-0.0038,-0.0057,-0.0095,-0.0242,0.0039,-0.0038,-0.0057,-0.0095,-0.0242
20090630,-0.0074,0.0025,-0.002,0,0.002,0.0114,-0.0066,0.0072,0.0035,0.002,0.0114,-0.0066,0.0072,0.0035
20090701,0.0054,0.015,0.0019,0.00001,-0.0196,-0.0279,-0.0248,-0.0239,-0.0353,-0.01961,-0.02791,-0.02481,-0.02391,-0.03531
20090702,-0.0289,-0.0065,-0.0109,0.00001,-0.01,-0.0073,0.0029,-0.027,-0.033,-0.01001,-0.00731,0.00289,-0.02701,-0.03301
20090706,-0.0003,-0.0089,-0.0097,0.00001,-0.0222,-0.0289,-0.0312,-0.0176,-0.0455,-0.02221,-0.02891,-0.03121,-0.01761,-0.04551
20090707,-0.0193,0,-0.0014,0.00001,0.0124,0.0013,0.0141,-0.0308,0.004,0.01239,0.00129,0.01409,-0.03081,0.00399
20090708,-0.002,-0.0059,-0.0111,0.00001,-0.0061,-0.0053,0.0199,0.0238,0.0198,-0.00611,-0.00531,0.01989,0.02379,0.01979
20090709,0.0035,-0.006,0.0125,0.00001,0.0164,-0.0022,0.0097,0.0078,0.0039,0.01639,-0.00221,0.00969,0.00779,0.00389
20090710,-0.0035,0.0093,-0.0054,0.00001,0.0263,0.0375,0.0241,-0.0051,0.0116,0.02629,0.03749,0.02409,-0.00511,0.01159
20090713,0.0243,-0.0065,0.018,0.00001,0,-0.0052,0.0009,0.049,0.0229,-0.00001,-0.00521,0.00089,0.04899,0.02289
20090714,0.0059,0.0029,0.0063,0.00001,0.0335,0.0437,0.031,0.0074,0.041,0.03349,0.04369,0.03099,0.00739,0.04099
20090715,0.0298,0.0054,0.0135,0.00001,0.0038,0.0133,0.0109,0.0317,0.0502,0.00379,0.01329,0.01089,0.03169,0.05019
20090716,0.0094,0.0048,-0.0016,0.00001,0.0285,-0.0061,-0.028,0.0189,0.0307,0.02849,-0.00611,-0.02801,0.01889,0.03069
20090717,-0.0005,-0.0023,-0.0011,0.00001,0.0074,0.0099,-0.0009,-0.0046,0.0132,0.00739,0.00989,-0.00091,-0.00461,0.01319
20090720,0.0119,0.0032,0.0034,0.00001,-0.0092,0.0122,-0.0046,0.028,-0.0229,-0.00921,0.01219,-0.00461,0.02799,-0.02291
20090721,0.0031,-0.0053,-0.0085,0.00001,0.0351,-0.0012,-0.0009,0.0091,0.0268,0.03509,-0.00121,-0.00091,0.00909,0.02679
20090722,0.0008,0.0058,0.0039,0.00001,0.0071,0.0306,0.0224,-0.0022,0.0586,0.00709,0.03059,0.02239,-0.00221,0.05859
